,name,country,years active,proven victims,possible victims,notes,pov rate,density
243,Volker Eckert,Czech Republic,1974 to 2006,9–13,19+,"German trucker who confessed to having abducted, tortured and killed five prostitutes through his route in Western Europe, plus strangling a 14-year-old girl in his native West Germany in 1974, when he was 15. Police considered him perpetrator of nine murders (with four more being possible); he hanged himself in prison before being convicted.",0.0566666666666666,136.240
244,Volker Eckert,Italy,1974 to 2006,9–13,19+,"German trucker who confessed to having abducted, tortured and killed five prostitutes through his route in Western Europe, plus strangling a 14-year-old girl in his native West Germany in 1974, when he was 15. Police considered him perpetrator of nine murders (with four more being possible); he hanged himself in prison before being convicted.",0.1376666666666667,203.410
246,Peter Kürten,Germany,1913 to 1930,9,79,"Charged with nine murders and seven attempted murders. Dubbed ""The Vampire of Düsseldorf"" by the contemporary media. Executed by guillotine in 1931.",0.1035,231.310
247,Peter Kürten,Germany,1913 to 1930,9,79,"Charged with nine murders and seven attempted murders. Dubbed ""The Vampire of Düsseldorf"" by the contemporary media. Executed by guillotine in 1931.",0.1035,231.310
248,Roger Dale Stafford,United States,1974 to 1978,9,34,"Killed nine people in two states, including a family of three; his wife implicated him in 34 total murders in different states; executed by lethal injection in 1995.",0.1689999999999999,34.560
250,Francis Heaulme,France,1984 to 1992,9,20,"Convicted of killing nine people, but suspected in the murder of dozens. He is known as the ""Criminal Backpacker"" due to his travels throughout France. He left a trail of bodies wherever he went.",0.0845,120.590
251,Joel Rifkin,United States,1989 to 1993,9,17,"Known as ""The Drifter"", killed prostitutes in New York City, most of them drug addicts. Convicted of nine murders but believed to have committed 17; also suspected of being the unidentified Long Island serial killer. Sentenced to 203 years to imprisonment for life.",0.1689999999999999,34.560
252,Dagmar Overbye,Denmark,1913 to 1920,9,15,"Murdered between nine and 25 children—of which one was her own—during a seven-year period. In 1921, she was sentenced to death in one of the most talked about trials in Danish history, that changed legislation on childcare. The sentence was later commuted to life in prison. Overbye was working as a professional child minder, caring for babies born outside of marriage, murdering her charges. She strangled them, drowned them or burned them to death in her masonry heater. The corpses were either cremated, buried or hidden in the loft. Died in prison in 1929.",0.0645,132.310
253,Kenneth McDuff,United States,1966 to 1992,9,14+,"Known as ""The Broomstick Killer""; death sentence for 1966 triple-murder was commuted. Killed again three days after 1989 parole and 10 further times in Waco, Texas until 1992. Executed by lethal injection in 1998.",0.1689999999999999,34.560
254,Robert Joseph Silveria Jr.,United States,1981 to 1996,9,14+,"Known as ""The Boxcar Killer""; freight train rider convicted of beating to death fellow transients and confessed to dozens more.",0.1689999999999999,34.560
255,Richard Biegenwald,United States,1958 to 1983,9,11+,"Known as ""The Thrill Killer"". Killed at least nine people in Monmouth County, New Jersey and is suspected in at least two other murders. Died of respiratory and kidney failure in 2008.",0.1689999999999999,34.560
257,New Bedford Highway Killer,United States,1988 to 1989,9,11,Unidentified serial killer who killed nine women and disappearance of two others between 1988 and 1989.,0.1689999999999999,34.560
258,Maryvale serial shooter,United States,2015 to 2016,9,11,"Motorist who shot 12 people in separate events in Phoenix, Arizona, killing nine. Aaron Saucedo was charged with the shootings and two additional murders in 2017.",0.1689999999999999,34.560
260,Timothy Krajcir,United States,2000s,9,,"Killed nine women across Pennsylvania, Illinois, Kentucky and Missouri (five in Cape Girardeau) in the 1970s and 1980s.",0.1689999999999999,34.560
261,Edgecombe County Serial Killer,United States,2000s,9,10,"Unidentified serial killer who killed nine women and possibly another who disappeared since 2005 around Rocky Mount, North Carolina. Antwan Pittman was convicted in one case.",0.1689999999999999,34.560
262,Eric Edgar Cooke,Australia,1958 to 1963,8,Unknown,"Known as the ""Night Caller"" and later the ""Nedlands Monster""; killed at least eight people and attempted to kill at least fourteen in and around Perth between 1959 and 1963; he was last person to be hanged in Western Australia.",0.125,3.010
263,Joseph Paul Franklin,United States,1977 to 1980,8–15,20,White supremacist shooter who confessed to 20 murders and several attempted murders. Executed by lethal injection in 2013.,0.1689999999999999,34.560
265,Yoshio Kodaira,Japan,1928? to 1946,8–11+,Unknown,"A serial rapist, Kodaira killed his father-in-law in 1932 and eight to 10 women in Japan between 1945 and 1946, engaging in necrophilia after the fifth murder. Previously (1920s) he had been deployed to Northern China as a sailor in the Imperial Japanese Navy, where he was free to target the locals. Hanged in 1949.",0.157,349.290
266,Keith Hunter Jesperson,United States,1990 to 1995,8,160,"Dubbed the ""Happy Face Killer"", Jesperson was convicted of killing eight women by strangulation.",0.1689999999999999,34.560
267,Rodney Alcala,United States,1971 to 1979,8,130+,"Known as the ""Dating Game Killer"" for appearing on the game show The Dating Game in the middle of his killing years. Was convicted of at least five murders, though his actual total is estimated to be much higher.",0.1689999999999999,34.560
268,Kiyotaka Katsuta,Japan,1982 to 1983,8,22,"Strangled or shot people to rob them, using a gun he had stolen from a policeman after running him over with his car. Hanged in 2000.",0.157,349.290
269,Pierre Chanal,France,1980 to 1988,8,17,Military instructor suspected of killing boys and men in Marne; committed suicide before trial.,0.0845,120.590
270,Christopher Wilder,United States,1984,8,13+,Killed eight women during a spree before accidentally shooting himself; suspected in the disappearance and murder of more than five more.,0.1689999999999999,34.560
271,Axeman of New Orleans,United States,1918 to 1919,8,12+,Unidentified serial killer of at least eight people in the New Orleans area from May 1918 to October 1919.,0.1689999999999999,34.560
273,Gilbert Paul Jordan,Canada,1965 to 1987,8,10,"Known as the ""Boozing Barber"", he would typically find alcoholic women in bars in Vancouver's destitute Downtown Eastside, buy them drinks or pay them for sex and encourage them to drink with him. When they passed out, he would pour more liquor down their throats. The resulting deaths were reported as alcohol poisoning and generally ignored by police as the intentional murders blended in with the common occurrence in that neighbourhood. Died in 2006.",0.1063333333333333,3.870
274,Bruce McArthur,Canada,2010 to 2017,8,,"One of the oldest known serial killers, active at 65, he lured men to secret sexual encounters involving drugs and bondage, killed them and dismembered their bodies which he hid in garden planters.",0.1063333333333333,3.870
275,Elizabeth Wettlaufer,Canada,2007 to 2018,8,,"Confessed to murdering eight senior citizens and attempting to murder six others in southwestern Ontario. With a total of fourteen victims either killed or injured by her actions, she is described as one of the worst serial killers in Canadian history.",0.1063333333333333,3.870
277,Manuel Delgado Villegas,Spain,1964 to 1971,7,48,"Wandering criminal known as El Arropiero (""The Arrope Trader"") and El Estrangulador del Puerto (""The Strangler of Puerto""). Confessed to the impulsive murders of 48 people of different sex, age, wealth and sexual orientation in three countries (including his girlfriend, whom he strangled during sex), but police only investigated him for 22 murders in Spain and was considered proven author of seven. Some of his victims were killed with hand to hand combat techniques that he had learned in the Spanish Foreign Legion. Diagnosed with XYY syndrome and interned in a mental institution until his death in 1998.",0.1476666666666666,93.520
278,Manuel Delgado Villegas,France,1964 to 1971,7,48,"Wandering criminal known as El Arropiero (""The Arrope Trader"") and El Estrangulador del Puerto (""The Strangler of Puerto""). Confessed to the impulsive murders of 48 people of different sex, age, wealth and sexual orientation in three countries (including his girlfriend, whom he strangled during sex), but police only investigated him for 22 murders in Spain and was considered proven author of seven. Some of his victims were killed with hand to hand combat techniques that he had learned in the Spanish Foreign Legion. Diagnosed with XYY syndrome and interned in a mental institution until his death in 1998.",0.0845,120.590
279,Manuel Delgado Villegas,Italy,1964 to 1971,7,48,"Wandering criminal known as El Arropiero (""The Arrope Trader"") and El Estrangulador del Puerto (""The Strangler of Puerto""). Confessed to the impulsive murders of 48 people of different sex, age, wealth and sexual orientation in three countries (including his girlfriend, whom he strangled during sex), but police only investigated him for 22 murders in Spain and was considered proven author of seven. Some of his victims were killed with hand to hand combat techniques that he had learned in the Spanish Foreign Legion. Diagnosed with XYY syndrome and interned in a mental institution until his death in 1998.",0.1376666666666667,203.410
281,Ivan Milat,Australia,1990s,7,23–37,Convicted of the Backpacker murders; sentenced to seven consecutive life sentences plus 18 years without the possibility of parole. May have had accomplices.,0.125,3.010
282,Michael Wayne McGray,Canada,1980s to 2010s,7,18,"Convicted of the murder of six people in the late 1990s, including a woman and her 11-year-old daughter. Claims to have killed 11 others, including murders committed while on parole and while on a three-day pass from prison. Finally imprisoned for life, killed a cellmate in 2010.",0.1063333333333333,3.870
283,Michael Wayne McGray,United States,1980s to 2010s,7,18,"Convicted of the murder of six people in the late 1990s, including a woman and her 11-year-old daughter. Claims to have killed 11 others, including murders committed while on parole and while on a three-day pass from prison. Finally imprisoned for life, killed a cellmate in 2010.",0.1689999999999999,34.560
284,Kenneth Erskine,United Kingdom,1986,7,11,"Known as ""The Stockwell Strangler"", he was a burglar who raped and strangled at least seven elderly women after breaking into their homes.",0.1176666666666666,264.940
285,David Carpenter,United States,1979 to 1981,7,11,"Known as ""The Trailside Killer""; murdered women on San Francisco-area hiking trails between 1979 and 1981. Sentenced to death.",0.1689999999999999,34.560
287,Tommy Recco,France,1960 to 1980,7,10,"Murdered his godfather in 1960; after release, killed six cashiers in two separate store raids; also suspected of murdering a trio of German tourists.",0.0845,120.590
288,Todd Kohlhepp,United States,2003 to 2016,7,7,"A registered sex offender; Shot up a motorcycle shop in 2003, killing 4; killed 3 more victims in 2015 and 2016; is currently serving 7 life sentences for the crimes.",0.1689999999999999,34.560
289,Ohio Prostitute Killer,United States,1981 to 2004,7,10,"Supposedly murdered prostitutes and exotic dancers; his first victim was Marcia King, who was identified in 2018.",0.1689999999999999,34.560
290,Derrick Todd Lee,United States,2002,7,10,"Known as the ""Baton Rouge or South Louisiana Serial Killer"" convicted of three murders. Believed to have murdered several other women in Louisiana, Mississippi and Alabama. Sentenced to death, died in 2016.",0.1689999999999999,34.560
292,Aileen Wuornos,United States,1989 to 1990,7,,Sex worker that shot her victims at point blank range.,0.1689999999999999,34.560
294,David Berkowitz,United States,1976 to 1977,6,,"Known as ""Son of Sam"", he went after young women and couples killing 6 people and wounding 7 others with a .44 caliber Bulldog revolver. He was caught when an eyewitness to his last murder saw he had a parking ticket on his car. He was sentenced to life in prison with parole in 1978.",0.1689999999999999,34.560
295,Richard Chase,United States,1977 to 1978,6,,"Known as ""The Vampire of Sacramento"" because he drank his victims' blood and cannibalized their remains. He killed six people in the span of a month in Sacramento, California. The 1987 film Rampage was loosely based on based on Chase's crimes.",0.1689999999999999,34.560
296,Tommy Lynn Sells,United States,1980 to 1999,6,70?,Drifter active throughout the United States who specialized in killing children and multiple victims after breaking into their homes. Caught when a 10-year-old girl survived his attack and provided a description of him. Executed in 2014.,0.1689999999999999,34.560
297,Władysław Mazurkiewicz,Poland,1950s,6,30,"Known as ""The Gentleman Killer"". Indicted of, and confessed to having committed 30 murders; convicted of six and hanged in 1957.",0.0943333333333333,125.830
300,András Pándy,Belgium,1986 to 1990,6,14+,"Former clergyman nicknamed ""Father Bluebeard"", killed his two wives and four of his children with the help of a fifth he was having an incestuous affair with, and whom denounced him to the authorities seven years later. Sentenced to life imprisonment in 2002.",0.0786666666666666,369.720
301,John Wayne Glover,Australia,1989 to 1990,6,13,"British ex-pat living in Australia. Known by the media as ""The Granny Killer"" as he targeted elderly women; committed suicide while in prison in 2005.",0.125,3.010
303,Adrián Arroyo Gutiérrez,Costa Rica,2014 to 2015,6,11,"Known as ""The Southern Psychopath""; raped and strangled drug-addicted prostitutes in San José; sentenced to 110 years imprisonment.",0.204,95.420
304,Joseph Naso,United States,1977 to 1994,6,10,"A freelance photographers who raped and strangled to death women in California. Arrested in 2011 and sentenced to death two years later. Known as ""The Double Initial Killer"" since first four victims to be identified bore double initials.",0.1689999999999999,34.560
305,Terry Peder Rasmussen,United States,1978 to 2002,6,6+,"Known as the ""Chameleon Killer""; main suspect in the Bear Brook murders, as well as other murders.",0.1689999999999999,34.560
306,Richard Cottingham,United States,1977 to 1980,5,85–100,"Killer operating in New York and New Jersey who often targeted prostitutes and utilized mutilation as well as dismemberment in his killings. Known as the ""Torso Killer"", convicted of five murders. He made claims of victim count as up to a hundred, however, there was no evidence to support this and is considered unsubstantiated.",0.1689999999999999,34.560
307,Zodiac Killer,United States,1962 to 1977,5,37,Targeted young couples. Remains unsolved but open in the California jurisdictions where the five certain Zodiac murders occurred. Potentially 37 total victims claimed but unverified.,0.1689999999999999,34.560
308,John Floyd Thomas Jr.,United States,1957 to 2009,5,17–25,Serial murderer and rapist with one of the longest criminal careers in the US.,0.1689999999999999,34.560
309,Carl Panzram,United States,1915 to 1929,5,22,"From 1920 to 1928, he claimed in a posthumous autobiography to have committed over 22 killings, and sodomy of more than 1000 young men. Executed in 1930 by hanging.",0.1689999999999999,34.560
311,Steve Wright,United Kingdom,2006,5,5–22,"Referred to as ""Suffolk murders"", ""Ipswich murders"", ""Ipswich Ripper"", ""Suffolk Ripper"", ""Suffolk Strangler"", ""East Anglia Ripper"", ""Red Light Ripper"" and ""the Suffolkator"". Murdered five prostitutes, all of whom worked in Ipswich in 2006. There are possible links to previous East Anglia prostitute killings.",0.1176666666666666,264.940
312,Michel Peiry,Switzerland,1981 to 1987,5,11,"Known as the ""Sadist of Romont""; Swiss soldier who sexually abused and murdered at least 5 hitchhikers in several countries; sentenced to life imprisonment.",0.102,204.510
313,Michel Peiry,France,1981 to 1987,5,11,"Known as the ""Sadist of Romont""; Swiss soldier who sexually abused and murdered at least 5 hitchhikers in several countries; sentenced to life imprisonment.",0.0845,120.590
314,Michel Peiry,United States,1981 to 1987,5,11,"Known as the ""Sadist of Romont""; Swiss soldier who sexually abused and murdered at least 5 hitchhikers in several countries; sentenced to life imprisonment.",0.1689999999999999,34.560
316,Michel Peiry,Italy,1981 to 1987,5,11,"Known as the ""Sadist of Romont""; Swiss soldier who sexually abused and murdered at least 5 hitchhikers in several countries; sentenced to life imprisonment.",0.1376666666666667,203.410
317,Hubert Pilčík,Czech Republic,1948 to 1951,5,10+,"Made money smuggling people across the Czechoslovakia-Germany border, but killed most of his customers. Total number of his victims is unknown.",0.0566666666666666,136.240
318,Thomas Dillon,United States,1989 to 1992,5,,Killed outdoorsmen in rural Ohio by sniping them from afar with a hunting rifle.,0.1689999999999999,34.560
319,Joe Metheny,United States,1976 to 1996,5,10,"Butchered his victims, then served them at BBQs at his roadside stand; died in prison.",0.1689999999999999,34.560
321,Charlie Brandt,United States,1971 to 2004,4,29,"Committed suicide by hanging after murdering his wife and niece. The latter was also decapitated and eviscerated in a manner strongly similar to 26 unsolved murders of women in Florida, starting in 1973, the year Brandt moved to the state. Brandt was later considered the culprit in one of these murders, due to his strong resemblance to a suspect who was filmed by a traffic camera near the place where one body was found. He could not be officially tied to the other crimes due to lack of evidence. Previously, when he was 13 years old in 1971, he attempted to murder his whole family with a gun, for no apparent reason. His mother (who was pregnant) died in this attack, but his father survived, and his sister escaped.",0.1689999999999999,34.560
322,Robert Black,United Kingdom,1981 to 1986,4,18+,"Convicted of kidnapping, raping and murdering four girls aged between five and 11. Suspect in other earlier child murders in the UK and other European countries. Died weeks before he was to be charged with a fifth child murder.",0.1176666666666666,264.940
323,Robert Black,Ireland,1981 to 1986,4,18+,"Convicted of kidnapping, raping and murdering four girls aged between five and 11. Suspect in other earlier child murders in the UK and other European countries. Died weeks before he was to be charged with a fifth child murder.",0.0773333333333333,66.700
324,Robert Black,Germany,1981 to 1986,4,18+,"Convicted of kidnapping, raping and murdering four girls aged between five and 11. Suspect in other earlier child murders in the UK and other European countries. Died weeks before he was to be charged with a fifth child murder.",0.1035,231.310
325,Robert Black,Netherlands,1981 to 1986,4,18+,"Convicted of kidnapping, raping and murdering four girls aged between five and 11. Suspect in other earlier child murders in the UK and other European countries. Died weeks before he was to be charged with a fifth child murder.",0.08125,498.350
326,Robert Black,France,1981 to 1986,4,18+,"Convicted of kidnapping, raping and murdering four girls aged between five and 11. Suspect in other earlier child murders in the UK and other European countries. Died weeks before he was to be charged with a fifth child murder.",0.0845,120.590
327,Max Gufler,Austria,1946 to 1958,4,18,"Poisoned and drowned four women, but suspected of killing 18 in total.",0.0966666666666666,102.830
328,Ernesto Picchioni,Italy,1949 and earlier,4,16,Murdered people who approached his home; died of cardiac arrest in 1967.,0.1376666666666667,203.410
331,Ricky Lee Green,United States,1985 to 1986,4,12,Bisexual drifter who killed people he met in bars; his wife assisted in two of the murders; executed in 1997.,0.1689999999999999,34.560
332,Robert Hicks Murray,United Kingdom,1912 and earlier,4,11+,Bigamist who murdered his wife and three children in a murder-suicide; posthumously revealed to have killed previous wives as well.,0.1176666666666666,264.940
333,Dallen Bounds,United States,1999,4,4+,"Murdered a Radio Shack manager, and a florist at their respective places of business. Then murdered two acquaintances before taking two others hostage and committing suicide. Suspected of additional murders in the Pacific Northwest.",0.1689999999999999,34.560
334,Stephen Port,United Kingdom,2014 to 2015,4,4+,"Nicknamed ""The Grindr Killer"", Port met his victims via online gay social networks. He used gamma-Hydroxybutyric acid (GHB), a date rape drug, adding it to drinks given to his victims, raped them, and murdered four of them in his flat in Barking, east London.",0.1176666666666666,264.940
335,Robert Maudsley,United Kingdom,1974 to 1978,4,4,"Sentenced to life without parole in 1974 for murdering a man who had shown him pictures of young boys he had sexually abused. Subsequently, killed another child sex offender in Broadmoor high-security hospital and two more, including a child sex offender, in prison. Has been held in solitary confinement since 1983.",0.1176666666666666,264.940
336,Sharon Kinne,United States,1960 to 1964,3,3,Sociopathic serial killer that murdered romantic partners with a handgun. Currently at large since her escape from prison in 1969.,0.1689999999999999,34.560
337,Ted Kaczynski,United States,1978 to 1996,3,3,"Domestic terrorist and serial bomber known as the ‘Unabomber’, Kaczynski was responsible for more than two dozen bombings of universities and one airline bombing from 1978 to 1996, justified by Kaczynski by his philosophy that technological advancements would destroy humanity. Arrested in 1996 due to his brother David recognizing the then unidentified Unabomber's manifesto titled: Industrial Society and Its Future, as the work of Kaczynski. Currently imprisoned at ADX Florence.",0.1689999999999999,34.560
338,Robert Ben Rhoades,United States,1989 to 1990,3,50+,Convicted of murdering three women in Texas and Illinois between 1989 and 1990. Sentenced to life imprisonment.,0.1689999999999999,34.560
339,Peter Tobin,United Kingdom,1991 to 2006,3,48,"Scottish rapist and serial killer known to have killed at least three young women. Also a suspect in the Bible John murders, committed in Glasgow during the late 1960s.",0.1176666666666666,264.940
340,Pedro Padilla Flores,Mexico,1986,3,30,Killed three women in 1986; fled to the US but recaptured and deported back to Mexico; main suspect in the Ciudad Juárez Murders.,0.1625,62.930
341,Billy Glaze,United States,1986 to 1987,3,20+,"Known as ""Butcher Knife Billy"". Killer convicted of raping and murdering three Native American prostitutes in Minneapolis in 1986 and 1987.",0.1689999999999999,34.560
342,Bertha Gifford,United States,1909 to 1928,3,17,"Found not guilty by reason of insanity of three arsenic poisonings and suspected of 14 other killings, mostly children, in Missouri.",0.1689999999999999,34.560
343,Bernhard Prigan,Germany,1947 to 1952,3,16,Killed women near highways; confessed to a total of 16 murders.,0.1035,231.310
344,Bernhard Prigan,Germany,1947 to 1952,3,16,Killed women near highways; confessed to a total of 16 murders.,0.1035,231.310
345,Stephen Griffiths,United Kingdom,2009 to 2010,3,14,"Known to have killed three prostitutes, but claims to have killed 14 to beat ""Yorkshire Ripper"" Peter Sutcliffe. Dubbed himself the ""Crossbow Cannibal"" as he killed his victims with a hammer and crossbow and then later ate parts of them.",0.1176666666666666,264.940
346,Koos Hertogs,Netherlands,1979 to 1980,3,12,"Dutch serial killer convicted of abducting, torturing, raping and killing three girls. Suspected of killing a further three to nine girls and young women in the 1970s.",0.08125,498.350
347,Chisako Kakehi,Japan,2007 to 2013,3,10,"Poisoned her husband and two other men to death, but suspected in another seven deaths; sentenced to death.",0.157,349.290
348,Dorothea Puente,United States,1982 to 1988,3,9–25,Ran a boarding house in Sacramento where she poisoned tenants and buried them in the yard in order to steal their social security checks.,0.1689999999999999,34.560
349,Patrick Mackay,United Kingdom,1973 to 1975,3,12,"Burglar suspect of 12 violent murders during robberies, charged with five and convicted of three. Bragged that he had killed 11 people. In prison for life.",0.1176666666666666,264.940
350,Leonarda Cianciulli,Italy,1939 to 1940,3,-,"Murdered three women in the town of Correggio, Reggio Emilia, and turned their bodies into soap and cakes.",0.1376666666666667,203.410
351,Özkan Zengin,Turkey,2008,3,4,Slit the throats of three confirmed victims before dumping the bodies in wells. Reportedly confessed to an additional murder.,0.147,97.360
352,Albert Fish,United States,1924 to 1932,3,9-100+,American serial killer and child rapist who confessed to three murders for which he was convicted and sentenced to death.,0.1689999999999999,34.560
353,Heriberto Seda,United States,1990 to 1996,3,8+,"Considered to be a copycat of the Zodiac Killer. Claimed to have killed people based on their zodiac signs, and only killed when certain star formations were out.",0.1689999999999999,34.560
354,John Martin,United Kingdom,1995,3,3+,"(Birth name John Martin Scripps, alias Simon James Davis) While on the run after escaping Britain, Martin killed at least three tourists between 8 and 14 March 1995 and robbed them of their possessions and money: one in Singapore and two in Thailand. He also dismembered their bodies and dumped them in various areas, such as the sea or abandoned places. Martin was also alleged to have killed at least three more people in other countries, such as the USA, but these were unconfirmed. He was arrested in Changi Airport when he returned to Singapore on 19 March 1995, and was charged with murder. Martin was found guilty of the one murder he committed in Singapore and thus sentenced to death in November 1995. Martin was executed on 19 April 1996, after he declined to appeal against his sentence.",0.1176666666666666,264.940
